show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;note
70261978;tv show;frozen planet;alastair fothergill;david attenborough;united kingdom, united states, spain, germany, greece, canada;january 28, 2016;2011;tv-pg;1 season;british tv shows, docuseries, international tv shows;go on a journey through the arctic and antarctic with this visually stunning program that explores these wildernesses and their inhabitants.;9,0 based on 25 305 user ratings
70279637;movie;frozen planet: on thin ice;nan;david attenborough;united kingdom, united states, spain, germany, greece, canada;january 28, 2016;2011;tv-pg;47 min;movies;david attenborough journeys to both polar regions to investigate what rising temperatures will mean for the people and wildlife that live there.;7,9 based on 513 user ratings
80049171;movie;frozen planet: the epic journey;nan;david attenborough;united kingdom, united states, spain, germany, greece, canada;january 28, 2016;2011;tv-pg;52 min;movies;collecting highlights from the epic documentary series that explores the entire polar year and the inhabitants, from the north to the south.;7,6 based on 402 user ratings
80048250;tv show;the making of frozen planet;nan;david attenborough;united kingdom, united states, spain, germany, greece, canada;january 28, 2016;2012;tv-pg;1 season;british tv shows, docuseries, science & nature tv;documentary crew members brave earth's most frigid regions to capture the majesty and mystery found in the chillier side of the animal kingdom.;8,2 based on 5 user ratings
80189619;tv show;a taiwanese tale of two cities;nan;tammy chen, james wen, peggy tseng, denny huang;nan;january 27, 2019;2018;tv-ma;1 season;international tv shows, tv dramas;a taipei doctor and a san francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.;6,4 based on 131 user ratings
80099016;movie;iboy;adam randall;bill milner, maisie williams, rory kinnear, miranda richardson, jordan bolger, charley palmer rothwell, aymen hamdouchi;united kingdom;january 27, 2017;2017;tv-ma;91 min;international movies, sci-fi & fantasy, thrillers;when shards of a cell phone get lodged in a teenager's brain, he discovers he can control electronic devices and uses his newfound power for revenge.;6,0 based on 19 071 user ratings
80123792;tv show;juana inã©s;nan;arcelia ramã­rez, arantza ruiz, hernã¡n del riego, margarita sanz, lisa owen, yolanda corrales, carlos valencia, mauricio isaac, pedro de tavira egurrola, emilio savinni, nã©stor galvã¡n, paulina matos, alberto collado, rocã­o garcã­a, luis maya, clementina guadarrama;mexico;january 27, 2017;2016;tv-14;1 season;international tv shows, spanish-language tv shows, tv dramas;juana inã©s de la cruz, a powerful feminist nun involved in a forbidden love affair with a woman, faces oppression in 17th-century mexico.;7,6 based on 487 user ratings
80132792;tv show;shadow of truth;nan;nan;israel;january 27, 2017;2016;tv-ma;1 season;crime tv shows, docuseries, international tv shows;this documentary series explores the explosive 2006 murder case of a 13-year-old israeli girl and the subsequent conviction of a ukrainian immigrant.;8,1 based on 1 182 user ratings
60024962;movie;biggie & tupac;nick broomfield;nick broomfield;united kingdom;january 26, 2019;2002;r;108 min;documentaries, music & musicals;british documentarian nick broomfield investigates the murders of rappers tupac shakur and biggie smalls, digging up some surprises in the process.;6,8 based on 4 499 user ratings
81031181;movie;goyo: the boy general;jerrold tarog;paulo avelino, carlo aquino, arron villaflor, mon confiado, gwen zamora, jeffrey quizon, alvin anson, empress schuck, perla bautista, benjamin alves;philippines;january 26, 2019;2018;tv-ma;150 min;dramas, international movies;"brash ladies' man gregorio ""goyo"" del pilar rises to become one of the philippines' youngest generals in this historical epic sequel to ""heneral luna.""";
80107084;movie;a futile and stupid gesture;david wain;will forte, domhnall gleeson, martin mull, joel mchale, matt lucas, thomas lennon, seth green, jackie tohn, natasha lyonne, emmy rossum, elvy yost, matt walsh, john gemberling, rick glassman, camille guaty;united states;january 26, 2018;2018;tv-ma;102 min;comedies;"in a brief life full of triumph and failure, ""national lampoon"" co-founder doug kenney built a comedy empire, molding pop culture in the 1970s.";6,8 based on 12 541 user ratings
80118100;tv show;dirty money;nan;nan;united states;january 26, 2018;2018;tv-14;1 season;crime tv shows, docuseries;from crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.;8,1 based on 6 970 user ratings
80196589;movie;fakkah fuzz: almost banned;michael mckay;fakkah fuzz;singapore;january 26, 2018;2018;tv-ma;61 min;stand-up comedy;stand-up comic fakkah fuzz mines cross-cultural humor from the experience of growing up as an outspoken malay man in singapore.;4,0 based on 35 user ratings
80183089;movie;mau nieto: viviendo sobrioâ€¦ desde el bar;nan;mau nieto;mexico;january 26, 2018;2018;tv-ma;57 min;stand-up comedy;performing at a bar, mexican stand-up comedian mau nieto dishes on his modest upbringing, his failed relationships and his attempts to stay sober.;6,6 based on 64 user ratings
80125818;movie;mune: guardian of the moon;alexandre heboyan, benoã®t philippon;joshua j. ballard, nicole provost, trevor devall, michael dobson, jonathan love, davey grant;france;january 26, 2018;2014;pg;85 min;children & family movies;when the old guardian of the moon retires, the mischievous mune is chosen as his successor, but he worries he's not up to the job.;7,2 based on 5 861 user ratings
80192138;movie;sebastiã¡n marcelo wainraich;raãºl campos, jan suter;sebastiã¡n marcelo wainraich;argentina;january 26, 2018;2018;tv-ma;49 min;stand-up comedy;argentine comedian sebastiã¡n wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.;6,2 based on 92 user ratings
80169801;movie;13th: a conversation with oprah winfrey & ava duvernay;nan;oprah winfrey, ava duvernay;nan;january 26, 2017;2017;nan;37 min;movies;oprah winfrey sits down with director ava duvernay to discuss her oscar-nominated film, historical cycles of oppression and the broken prison system.;6,9 based on 147 user ratings
80239629;movie;animas;laura alvea, josã© ortuã±o;clare durant, ivã¡n pellicer, luis bermejo, liz lobato, chacha huang, ã�ngela molina;spain, belgium;january 25, 2019;2018;tv-ma;88 min;horror movies, international movies;a teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.;4,8 based on 973 user ratings
80145141;tv show;black earth rising;nan;michaela coel, john goodman, abena ayivor, noma dumezweni, ronald guttman, danny sapani, harriet walter, tyrone huggins, emmanuel imani, lucian msamati, tamara tunie;united kingdom;january 25, 2019;2018;tv-ma;1 season;british tv shows, international tv shows, tv dramas;adopted by a human rights attorney after the rwandan genocide, legal investigator kate ashby confronts her past when she takes on war crimes cases.;7,4 based on 3 288 user ratings
80991879;tv show;examination of conscience;nan;nan;spain;january 25, 2019;2019;tv-ma;1 season;crime tv shows, docuseries, international tv shows;allegations of child sexual abuse in spain's catholic institutions are examined in interviews with survivors, clergy, journalists and other experts.;7,9 based on 297 user ratings
80180171;tv show;kingdom;kim seong-hun;ju ji-hoon, ryu seung-ryong, bae doona, kim sang-ho, kim sung-kyu, jeon seok-ho, kim hye-jun, heo jun-ho, jung suk-won, kim jong-soo;south korea, united states;january 25, 2019;2019;tv-ma;1 season;international tv shows, korean tv shows, tv action & adventure;while strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.;8,4 based on 23 677 user ratings
81023638;movie;mi obra maestra;gastã³n duprat;guillermo francella, luis brandoni, raãºl arã©valo, andrea frigerio, marã­a soldi, mã³nica duprat, mahmoud azim, santiago korovsky, julio marticorena, alejandro paker;argentina, spain;january 25, 2019;2018;tv-ma;105 min;comedies, international movies;a sly art dealer tries to revive the career of his longtime pal, a surly painter, with a risky plan that tests their morals and friendship.;7,1 based on 4 035 user ratings
80223052;movie;polar;nan;nan;united states, germany;january 25, 2019;2019;tv-ma;119 min;action & adventure, international movies;an assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young, ruthless killers to take him out.;6,3 based on 68 850 user ratings
81020577;tv show;the perfect match;nan;wu kang-jen, ivy shao, ben wu, xiao man, nylon chen;nan;january 25, 2019;2017;tv-14;1 season;international tv shows, romantic tv shows, tv comedies;a night market vendor clashes with a lofty celebrity chef in a culinary challenge, fueling the first sparks of a romance.;4,9 based on 3 272 user ratings
